Book Name, Genre, Published Year, Edition, Author, Book Front Page URL
"Data Structures and Algorithms", "Computer Science", 2018, "3rd", "Mark Allen Weiss", "https://example.com/dsa_front.jpg"
"Introduction to Algorithms", "Computer Science", 2020, "4th", "Thomas H. Cormen", "https://example.com/intro_algorithms.jpg"
"Operating Systems: Design and Implementation", "Operating Systems", 2019, "2nd", "Andrew S. Tanenbaum", "https://example.com/os_design_implementation.jpg"
"Database Management Systems", "Database", 2017, "5th", "Raghu Ramakrishnan", "https://example.com/dbms_front.jpg"
"Computer Networks", "Computer Science", 2021, "6th", "Andrew S. Tanenbaum", "https://example.com/computer_networks.jpg"
"Discrete Mathematics", "Mathematics", 2016, "1st", "Kenneth H. Rosen", "https://example.com/discrete_math.jpg"
"Data Mining: Concepts and Techniques", "Data Science", 2022, "3rd", "Jiawei Han", "https://example.com/data_mining.jpg"
"Artificial Intelligence: A Modern Approach", "AI", 2018, "4th", "Stuart Russell", "https://example.com/ai_modern_approach.jpg"
"Fundamentals of Database Systems", "Database", 2020, "7th", "Ramez Elmasri", "https://example.com/fundamentals_dbms.jpg"
"Design Patterns: Elements of Reusable Object-Oriented Software", "Software Engineering", 2015, "2nd", "Erich Gamma", "https://example.com/design_patterns.jpg"
Book Name, Genre, Published Year, Edition, Author, Book Front Page URL
"Clean Code", "Software Engineering", 2008, "1st", "Robert C. Martin", "https://example.com/clean_code.jpg"
"The Pragmatic Programmer", "Software Engineering", 2019, "2nd", "Andrew Hunt", "https://example.com/pragmatic_programmer.jpg"
"Head First Java", "Programming", 2022, "3rd", "Kathy Sierra", "https://example.com/head_first_java.jpg"
"Java: The Complete Reference", "Programming", 2021, "11th", "Herbert Schildt", "https://example.com/java_complete_reference.jpg"
"Python Crash Course", "Programming", 2019, "2nd", "Eric Matthes", "https://example.com/python_crash_course.jpg"
"Fluent Python", "Programming", 2020, "2nd", "Luciano Ramalho", "https://example.com/fluent_python.jpg"
"Effective Java", "Programming", 2018, "3rd", "Joshua Bloch", "https://example.com/effective_java.jpg"
"Structure and Interpretation of Computer Programs", "Programming", 2022, "2nd", "Harold Abelson", "https://example.com/sicp.jpg"
"Modern Operating Systems", "Operating Systems", 2023, "5th", "Andrew S. Tanenbaum", "https://example.com/modern_os.jpg"
"Operating System Concepts", "Operating Systems", 2021, "10th", "Abraham Silberschatz", "https://example.com/os_concepts.jpg"
"Computer Organization and Design", "Computer Architecture", 2021, "5th", "David A. Patterson", "https://example.com/comp_org_design.jpg"
"Cryptography and Network Security", "Cybersecurity", 2017, "6th", "William Stallings", "https://example.com/crypto_netsec.jpg"
"Introduction to Machine Learning", "AI", 2020, "4th", "Ethem Alpaydin", "https://example.com/ml_intro.jpg"
"Deep Learning", "AI", 2016, "1st", "Ian Goodfellow", "https://example.com/deep_learning.jpg"
"Reinforcement Learning: An Introduction", "AI", 2018, "2nd", "Richard S. Sutton", "https://example.com/rl_intro.jpg"
"Data Science from Scratch", "Data Science", 2019, "2nd", "Joel Grus", "https://example.com/data_science_scratch.jpg"
"Big Data: Principles and Paradigms", "Data Science", 2021, "1st", "Rajkumar Buyya", "https://example.com/big_data.jpg"
"Agile Software Development", "Software Engineering", 2015, "1st", "Robert C. Martin", "https://example.com/agile_dev.jpg"
"Software Engineering", "Software Engineering", 2020, "10th", "Ian Sommerville", "https://example.com/software_engineering.jpg"
"The C Programming Language", "Programming", 1988, "2nd", "Brian W. Kernighan", "https://example.com/c_language.jpg"
"Beginning JavaScript", "Web Development", 2021, "6th", "Paul Wilton", "https://example.com/beginning_js.jpg"
"HTML and CSS: Design and Build Websites", "Web Development", 2011, "1st", "Jon Duckett", "https://example.com/html_css.jpg"
"Computer Graphics: Principles and Practice", "Graphics", 2013, "3rd", "John F. Hughes", "https://example.com/comp_graphics.jpg"
"Compiler Design", "Computer Science", 2022, "2nd", "Alfred V. Aho", "https://example.com/compiler_design.jpg"
"Unix Concepts and Applications", "Operating Systems", 2003, "4th", "Sumitabha Das", "https://example.com/unix_concepts.jpg"
Book Name, Genre, Published Year, Edition, Author, Book Front Page URL
"Cloud Computing: Concepts, Technology & Architecture", "Cloud Computing", 2013, "1st", "Thomas Erl", "https://example.com/cloud_computing.jpg"
"Blockchain Basics", "Blockchain", 2018, "1st", "Daniel Drescher", "https://example.com/blockchain_basics.jpg"
"Mastering Blockchain", "Blockchain", 2021, "3rd", "Imran Bashir", "https://example.com/mastering_blockchain.jpg"
"Introduction to Automata Theory, Languages, and Computation", "Theory of Computation", 2006, "3rd", "John E. Hopcroft", "https://example.com/automata_theory.jpg"
"Artificial Intelligence", "AI", 2020, "3rd", "Elaine Rich", "https://example.com/ai_rich.jpg"
"Learning PHP, MySQL & JavaScript", "Web Development", 2022, "6th", "Robin Nixon", "https://example.com/php_mysql_js.jpg"
"Pro Git", "Software Tools", 2014, "2nd", "Scott Chacon", "https://example.com/pro_git.jpg"
"Linux Command Line and Shell Scripting Bible", "Operating Systems", 2021, "4th", "Richard Blum", "https://example.com/linux_shell.jpg"
"Microprocessor Architecture, Programming and Applications", "Computer Architecture", 2002, "5th", "Ramesh S. Gaonkar", "https://example.com/microprocessor_gaonkar.jpg"
"Computer Vision: Algorithms and Applications", "Computer Vision", 2020, "2nd", "Richard Szeliski", "https://example.com/computer_vision.jpg"
"Computer System Architecture", "Computer Architecture", 2007, "3rd", "Morris Mano", "https://example.com/system_architecture.jpg"
"Internet of Things: A Hands-On-Approach", "IoT", 2014, "1st", "Arshdeep Bahga", "https://example.com/iot_hands_on.jpg"
"Professional Android Development", "Mobile Development", 2018, "5th", "Reto Meier", "https://example.com/android_dev.jpg"
"Learning React", "Web Development", 2022, "5th", "Alex Banks", "https://example.com/learning_react.jpg"
"Vue.js Up and Running", "Web Development", 2018, "1st", "Callum Macrae", "https://example.com/vue_up.jpg"
"Learning Web Design", "Web Development", 2018, "5th", "Jennifer Niederst Robbins", "https://example.com/web_design.jpg"
"Network Security Essentials", "Cybersecurity", 2013, "4th", "William Stallings", "https://example.com/netsec_essentials.jpg"
"Introduction to the Theory of Computation", "Theory of Computation", 2006, "2nd", "Michael Sipser", "https://example.com/theory_computation.jpg"
"Beginning Ethical Hacking with Kali Linux", "Cybersecurity", 2021, "1st", "Patrick Engebretson", "https://example.com/ethical_hacking.jpg"
"Agile Estimating and Planning", "Project Management", 2005, "1st", "Mike Cohn", "https://example.com/agile_planning.jpg"
"Managing Software Requirements", "Project Management", 2003, "2nd", "Dean Leffingwell", "https://example.com/software_requirements.jpg"
"Essentials of Software Engineering", "Software Engineering", 2020, "4th", "Frank Tsui", "https://example.com/essentials_se.jpg"
"User Interface Design and Evaluation", "UI/UX", 2005, "1st", "Debbie Stone", "https://example.com/ui_design.jpg"
"Don't Make Me Think", "UI/UX", 2014, "2nd", "Steve Krug", "https://example.com/dont_make_me_think.jpg"
"Designing Data-Intensive Applications", "Software Architecture", 2017, "1st", "Martin Kleppmann", "https://example.com/data_intensive.jpg"
Book Name, Genre, Published Year, Edition, Author, Book Front Page URL
"Introduction to Embedded Systems", "Embedded Systems", 2010, "1st", "Shibu K.V.", "https://example.com/embedded_systems.jpg"
"Programming Embedded Systems", "Embedded Systems", 2006, "2nd", "Michael Barr", "https://example.com/programming_embedded.jpg"
"Digital Logic and Computer Design", "Computer Architecture", 1972, "1st", "Morris Mano", "https://example.com/digital_logic.jpg"
"Digital Design", "Computer Architecture", 2017, "5th", "Morris Mano", "https://example.com/digital_design.jpg"
"Computer Fundamentals", "Basics", 2004, "6th", "P.K. Sinha", "https://example.com/computer_fundamentals.jpg"
"Fundamentals of Computer Algorithms", "Algorithms", 2011, "2nd", "Horowitz, Sahni", "https://example.com/fundamentals_algorithms.jpg"
"Object-Oriented Analysis and Design", "Software Engineering", 2013, "3rd", "Grady Booch", "https://example.com/ooad_booch.jpg"
"Python for Data Analysis", "Data Science", 2017, "2nd", "Wes McKinney", "https://example.com/python_data_analysis.jpg"
"Learning SQL", "Database", 2020, "3rd", "Alan Beaulieu", "https://example.com/learning_sql.jpg"
"NoSQL Distilled", "Database", 2012, "1st", "Pramod J. Sadalage", "https://example.com/nosql_distilled.jpg"
"MongoDB: The Definitive Guide", "Database", 2019, "3rd", "Kristina Chodorow", "https://example.com/mongodb_guide.jpg"
"Learning MySQL", "Database", 2007, "1st", "Seyed M.M. Tahaghoghi", "https://example.com/learning_mysql.jpg"
"Computer Science Illuminated", "Computer Science", 2020, "7th", "Nell Dale", "https://example.com/cs_illuminated.jpg"
"Head First Design Patterns", "Software Engineering", 2020, "2nd", "Eric Freeman", "https://example.com/headfirst_design.jpg"
"Data Visualization with Python", "Data Science", 2021, "1st", "Igor Milovanovic", "https://example.com/data_viz_python.jpg"
"Mastering Python", "Programming", 2022, "2nd", "Rick van Hattem", "https://example.com/mastering_python.jpg"
"Linux Pocket Guide", "Operating Systems", 2022, "4th", "Daniel J. Barrett", "https://example.com/linux_pocket_guide.jpg"
"Learning Docker", "DevOps", 2020, "2nd", "Pethuru Raj", "https://example.com/learning_docker.jpg"
"Kubernetes Up & Running", "DevOps", 2022, "3rd", "Brendan Burns", "https://example.com/kubernetes_up.jpg"
"Learning DevOps", "DevOps", 2021, "1st", "Mikael Krief", "https://example.com/learning_devops.jpg"
"Software Testing Principles and Practices", "Software Engineering", 2007, "1st", "Srinivasan Desikan", "https://example.com/software_testing.jpg"
"Introduction to Information Retrieval", "Information Retrieval", 2008, "1st", "Christopher D. Manning", "https://example.com/information_retrieval.jpg"
"Speech and Language Processing", "NLP", 2022, "3rd", "Daniel Jurafsky", "https://example.com/speech_language.jpg"
"NLP with Python", "NLP", 2015, "1st", "Steven Bird", "https://example.com/nlp_python.jpg"
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow", "AI", 2022, "3rd", "Aurélien Géron", "https://example.com/hands_on_ml.jpg"
"Principles of Compiler Design", "Compilers", 1977, "1st", "Alfred V. Aho", "https://example.com/dragon_book.jpg"
"Programming in ANSI C", "Programming", 2019, "8th", "E. Balagurusamy", "https://example.com/ansi_c.jpg"
"Let Us C", "Programming", 2017, "16th", "Yashavant Kanetkar", "https://example.com/let_us_c.jpg"
"Let Us Python", "Programming", 2021, "2nd", "Yashavant Kanetkar", "https://example.com/let_us_python.jpg"
"Object Oriented Programming with C++", "Programming", 2011, "6th", "E. Balagurusamy", "https://example.com/oop_cpp.jpg"
"Java How to Program", "Programming", 2017, "10th", "Paul Deitel", "https://example.com/java_htp.jpg"
"Head First Android Development", "Mobile Development", 2017, "2nd", "Dawn Griffiths", "https://example.com/hf_android.jpg"
"iOS Programming: The Big Nerd Ranch Guide", "Mobile Development", 2020, "7th", "Christian Keur", "https://example.com/ios_programming.jpg"
"Algorithms Unlocked", "Algorithms", 2013, "1st", "Thomas H. Cormen", "https://example.com/algorithms_unlocked.jpg"
"The Algorithm Design Manual", "Algorithms", 2020, "3rd", "Steven S. Skiena", "https://example.com/algorithm_design.jpg"
"Hands-On Data Structures and Algorithms with Python", "DSA", 2020, "2nd", "Dr. Basant Agarwal", "https://example.com/hands_on_dsa.jpg"
"Building Microservices", "Software Architecture", 2015, "1st", "Sam Newman", "https://example.com/microservices_book.jpg"
"Software Architecture in Practice", "Software Architecture", 2020, "4th", "Len Bass", "https://example.com/architecture_practice.jpg"
"Security Engineering", "Cybersecurity", 2020, "3rd", "Ross Anderson", "https://example.com/security_engineering.jpg"
"Hacking: The Art of Exploitation", "Cybersecurity", 2008, "2nd", "Jon Erickson", "https://example.com/hacking_art.jpg"
"Gray Hat Hacking", "Cybersecurity", 2022, "6th", "Allen Harper", "https://example.com/gray_hat.jpg"